rank,score,institute_name_raw,institute_id,state,city,tlr,rpc,go,oi,perception,category,year,page_url,row_anchor,crawl_time,institute_name_norm
88,50.03,Tamil Nadu Agricultural University,IR-O-U-0485,Tamil Nadu,Coimbatore,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,TAMIL NADU AGRICULTURAL UNIVERSITY
89,49.91,International Institute of Information Technology Hyderabad,IR-O-U-0014,Telangana,Hyderabad,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY HYDERABAD
90,49.85,Bharath Institute of Higher Education & Research,IR-O-U-0446,Tamil Nadu,Chennai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,BHARATH INSTITUTE OF HIGHER EDUCATION & RESEARCH
91,49.83,Savitribai Phule Pune University,IR-O-U-0323,Maharashtra,Pune,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SAVITRIBAI PHULE PUNE UNIVERSITY
92,49.8,Mumbai University,IR-O-U-0318,Maharashtra,Mumbai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,MUMBAI UNIVERSITY
93,49.79,Sathyabama Institute of Science and Technology,IR-O-U-0474,Tamil Nadu,Chennai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
94,49.75,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,IR-O-U-0200,Jammu and Kashmir,Srinagar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SHER-E-KASHMIR UNIVERSITY OF AGRICULTURAL SCIENCE AND TECHNOLOGY OF KASHMIR
95,49.66,SVKM`s Narsee Monjee Institute of Management Studies,IR-O-N-10,Maharashtra,Mumbai,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SVKM'S NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES
96,49.65,Christ University,IR-O-U-0217,Karnataka,Bengaluru,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,CHRIST UNIVERSITY
97,49.51,National Institute of Technology Silchar,IR-O-U-0055,Assam,Silchar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,NIT SILCHAR
98,49.38,Manipal University Jaipur,IR-O-U-0749,Rajasthan,Jaipur,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,MANIPAL UNIVERSITY JAIPUR
99,49.11,Madan Mohan Malaviya University of Technology,IR-O-U-0739,Uttar Pradesh,Gorakhpur,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,MADAN MOHAN MALAVIYA UNIVERSITY OF TECHNOLOGY
100,49.04,All India Institute of Medical Sciences Bhubaneswar,IR-O-U-0688,Odisha,Khordha,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,ALL INDIA INSTITUTE OF MEDICAL SCIENCES BHUBANESWAR
